replicate,r0.5_rho0.0_pooled_main,r0.5_rho0.0_low_main,r0.5_rho0.0_medium_main,r0.5_rho0.0_high_main,r0.5_rho0.0_pooled_control,r0.5_rho0.0_low_control,r0.5_rho0.0_medium_control,r0.5_rho0.0_high_control,r0.5_rho0.5_pooled_main,r0.5_rho0.5_low_main,r0.5_rho0.5_medium_main,r0.5_rho0.5_high_main,r0.5_rho0.5_pooled_control,r0.5_rho0.5_low_control,r0.5_rho0.5_medium_control,r0.5_rho0.5_high_control,r0.5_rho0.9_pooled_main,r0.5_rho0.9_low_main,r0.5_rho0.9_medium_main,r0.5_rho0.9_high_main,r0.5_rho0.9_pooled_control,r0.5_rho0.9_low_control,r0.5_rho0.9_medium_control,r0.5_rho0.9_high_control
0,-0.05916902073660851,0.008771847507331343,-0.05060374933646242,-0.10125261419922953,0.22930159886635562,0.2625084356863274,0.23862076546208286,0.2016650236793881,0.144260961541833,0.21480381471389645,0.13721608456174983,0.07340182648401827,0.04017716680982395,0.06314376359680929,0.04120966264161911,0.023223611111111115,0.18419926653391908,0.2512660391599698,0.1939529914529915,0.10067434515485299,0.002428041816562733,0.00610780770277098,0.0037803042548987947,0.0012133145354158697
1,-0.04841598691522159,0.002914553446360435,-0.06667394413912517,-0.09866679382033186,0.23094964716695823,0.2571891745693663,0.23823108429169038,0.20140415271265907,0.13937014916590668,0.2168547283702213,0.14709470304975925,0.0773351922853491,0.038803007752626795,0.06250109136768582,0.0429338539432752,0.02338107995988014,0.18255500987155793,0.26480400630433676,0.17014065695563255,0.10535220761712169,0.0022186222214330455,0.006633136389858546,0.003599461204245629,0.0014652335611503794
2,-0.05137098769597587,-0.0032974095700905037,-0.057455421686747,-0.09778033794162824,0.23435095801840566,0.26184300459710297,0.23894865201601145,0.20183052687888733,0.13599721915091745,0.2206744868035191,0.14240788281485955,0.0722267054332562,0.03895918997780819,0.06253426140423045,0.04220507624762944,0.023104936596915635,0.17366442659673278,0.2900034264176803,0.17477794932340388,0.09867435175153483,0.002171197857371035,0.00641209247184351,0.002496831027173279,0.001284310106664334
3,-0.05943518528980843,0.003969756828553939,-0.05882899551827636,-0.09535420743639922,0.232030465896606,0.26280869028302295,0.23700352273453157,0.1981009202011053,0.14371608751608755,0.2008021390374332,0.1412163101397791,0.07903625658506354,0.03904688852064045,0.06289747367971471,0.03919595197701706,0.02144005461592671,0.17082140988302952,0.2539125874125874,0.18033759831616258,0.10219050536850595,0.0022972826085015455,0.005935624089589073,0.0033918935644167494,0.001296089838349319
4,-0.059446816971541167,0.021549135577797973,-0.03801037805782062,-0.10603414634146338,0.23194845229130812,0.262978889430781,0.23781331569664904,0.19393822329558977,0.13271400079776632,0.2010297980255412,0.13286734591948857,0.0715185601799775,0.037138914514198915,0.06068074123022531,0.042304363605907475,0.02129233765047764,0.17440839069157654,0.2594955436720143,0.17643073811931245,0.08888305868073385,0.002668608670582568,0.005609371659282908,0.004870644043057832,0.001151161954097417
5,-0.052451323357928875,-0.00019999999999997797,-0.05847811447811446,-0.10300989775051125,0.22972064320892424,0.2635734727269385,0.23827529743398418,0.19904728787343282,0.1340688648181534,0.20357206090651558,0.1393533108986343,0.08034331134787759,0.03905930671654238,0.06481052946042835,0.04193213870914218,0.0228419963408416,0.1715689627128865,0.2730261136712749,0.1869445200576677,0.08807384546635201,0.002274094770309161,0.00595053854875283,0.0029231066680314305,0.0012267936813207415
6,-0.05775004455798477,0.007372494172494137,-0.05732038048977936,-0.10691582555703674,0.23124416952862914,0.264995890967915,0.24132738496771672,0.2000184541901867,0.15039949431099878,0.19676317686790876,0.1318950980614958,0.07245790119326423,0.03983767006000134,0.062489111074523665,0.04182095769292532,0.022224756350219546,0.17511337073907535,0.2604961421645381,0.17292120749782042,0.09364221364221365,0.002423995136280447,0.006404745309455062,0.0036999512483894548,0.0010912706941662315
7,-0.06219273642574613,-0.01090018110152341,-0.05614637344299428,-0.10190745224643534,0.23425743536577462,0.2576227207945814,0.23789191577790786,0.19870577405561465,0.14675370009103914,0.22508869034648066,0.13694059803331332,0.07363218698425442,0.03764394364215515,0.05983388417190932,0.041081825150233175,0.02325700776764606,0.16724097707689808,0.27125268765133165,0.16850870010235414,0.1050353700802355,0.002290652770001577,0.005562113025778737,0.002834156773099325,0.001136112070208922
8,-0.06103562336560278,0.014281901584653867,-0.08843026706231458,-0.11432732672701831,0.2340122042055807,0.26464116424116424,0.2407721094043701,0.19913497118053086,0.1304519734544185,0.22621573828470384,0.1469707938711757,0.07629933072811391,0.03964500253404925,0.06287583822958692,0.04115333016233092,0.02425660591840497,0.17797975222901624,0.2599288537549408,0.17243080756106813,0.0952067960517046,0.0022438627257095334,0.006061294235458245,0.004197151846097761,0.0012806735492237042
9,-0.057279559118236484,0.004773104176089227,-0.058166437143419236,-0.09766679791748697,0.2357534915519094,0.26287693981192434,0.2406500552326507,0.19675826494229837,0.13350416795307196,0.23066753926701566,0.14731343283582088,0.06884277733439745,0.040809901783375735,0.061601036269430066,0.03991418134852197,0.021955028884392915,0.17533540434833617,0.2666384711779449,0.17708743835601393,0.08555977444863369,0.002264013393903242,0.006610222395630118,0.0030735723054353785,0.0011453736793128506
10,-0.05825100264822983,0.004993134162182167,-0.055188659578903454,-0.10593732399125874,0.23222803230191094,0.2613313791502206,0.23742711341815625,0.1988001967093637,0.13651993242477156,0.21557377049180315,0.1409165888577653,0.07567502221186478,0.0392982516032719,0.06217698219715914,0.04161544499086349,0.023396198004893662,0.1726631198002413,0.2636992649408757,0.17102352494782774,0.09369305248308808,0.0024241815573461806,0.0065754542083796795,0.002619179236094657,0.0012295434998074069
11,-0.06033353010625736,0.019212635549269275,-0.05693678641047065,-0.09856792717086836,0.23465145391521625,0.2643506513063775,0.23943431012893202,0.19882366670342191,0.14617916050562832,0.2244256292906179,0.13864893051811333,0.08015320321469577,0.04088024243499841,0.060552425550596325,0.037442568271836556,0.022696122962692127,0.18027945667825332,0.2780642753472942,0.17295474065770888,0.09798020983541343,0.002324961508092461,0.0062003266194883,0.003592075311988834,0.0011578088660178735
12,-0.056304108987035806,0.008713815789473611,-0.061889168038349374,-0.10237783375314863,0.2336042026409534,0.26228414197704825,0.23690856513668543,0.19869945140018133,0.1368252090598579,0.20414037575327898,0.14890279300780498,0.07829002104438898,0.0400963641467921,0.06013745249246977,0.04173185759904151,0.0225110846906436,0.17003412428501993,0.2502847222222223,0.18232167767670832,0.09614195920034488,0.0022660515267275867,0.00587155923439571,0.0033733784048222935,0.001237752019052643
13,-0.05403646937662809,0.005258591925258627,-0.03229824561403505,-0.1012792792792793,0.23237912901744423,0.26358505341135496,0.2371924781173485,0.1998640813870809,0.138156802928615,0.2233031875463307,0.13648295677158157,0.07008187956371635,0.03947954912950026,0.0636698300009659,0.03992469045562275,0.020845917121864822,0.16684753155669219,0.25150531537916376,0.184460765365288,0.09559439775910365,0.0022811501240625545,0.005763201035375327,0.0029882936339826367,0.001363579566202153
14,-0.05930529240874066,-0.003003056546102889,-0.06480383159343808,-0.10617581954253191,0.23440909794226678,0.2615581396821778,0.24404848449459635,0.19852592891760903,0.14040116768540245,0.19789707187222716,0.13636622807017543,0.08382042653139772,0.039826275175528586,0.06416007191457046,0.041119002347935286,0.02345017869739468,0.17296025333042148,0.26232945306248867,0.18501965757767913,0.10353345388788429,0.0024247241228373337,0.006024165788549342,0.0026551053625993165,0.0012749648293922545
15,-0.0629393663622902,0.010465116279069708,-0.058375420875420886,-0.1085451443246381,0.23409727767778604,0.25869924864546645,0.2355188505522067,0.19932306521082843,0.13512632978723407,0.2134670487106017,0.13502891876957085,0.06941346461666248,0.039205063414916,0.06177566678845452,0.04061493454252907,0.023005219963247947,0.16849764998470212,0.2707554112554112,0.19152150288689607,0.09855754903145261,0.00214997776797397,0.00604822733937406,0.0038849711859266015,0.0015151144888932312
16,-0.05598037402112349,0.006335849185478637,-0.058901796086140684,-0.10159639319278635,0.23075035185416323,0.2617386893893285,0.23680011222876118,0.19737083508382888,0.14391661368934094,0.2114871794871795,0.14570635643080748,0.07726710243031984,0.03879328622327759,0.06258130353319058,0.04090418272596491,0.022329072420621075,0.18355030087295535,0.26846674769925344,0.17527816189767048,0.10061151079136693,0.0021843847627153953,0.005355915065722958,0.0033355551815070425,0.0012738762676376015
17,-0.04973032487594797,0.0228077292623039,-0.05140147523709168,-0.10526086956521741,0.23293678038310606,0.26066081841344757,0.23950095459287107,0.19979649746551575,0.14015353535353542,0.20339582073506685,0.14507554146856838,0.06264338364338363,0.03993892459354473,0.06104191695967023,0.041454073984036305,0.022377881178311992,0.169758354021182,0.2693485605170387,0.19053942567031573,0.09936802090757899,0.0022093016685595483,0.00555366540727277,0.003423519485740746,0.001195643760085267
18,-0.05212585154160562,0.007871235721702952,-0.06727880228747668,-0.10857107023411372,0.23115463351129267,0.2617224096237081,0.24144461330631542,0.1974613003658181,0.1327299969107198,0.2056374645853008,0.13654067460317462,0.07147826086956524,0.03808166832112182,0.0635521332996718,0.040566610436363074,0.023522140813076083,0.1768042003186638,0.2563907781716001,0.16067094958394515,0.10528647822765472,0.0023788409836296327,0.006747161700293047,0.0040162016201620125,0.0013419322525029826
19,-0.05580089427239815,0.00549319337379045,-0.0771739130434782,-0.09197349539967924,0.2339225129978899,0.26286087326167484,0.24295195728237604,0.19752999484200848,0.12916511385781795,0.22085590303755798,0.15679052429052434,0.0806572120373573,0.040159718221358914,0.06227714053991425,0.03955340082940638,0.0212392065105428,0.16543234472638663,0.25160709534368075,0.1728838791571465,0.09331054131054133,0.0022655377594990103,0.0057808221005085925,0.0035090885222623033,0.001254746004927032
20,-0.053349998117682484,0.0007821651237483462,-0.06299645390070918,-0.09455437897097299,0.23555593475418474,0.26429654198299996,0.24124977213897703,0.1979553247372801,0.1437747660840411,0.1907692307692308,0.14484643241656062,0.07376641817536386,0.03810593796709576,0.06426042857719366,0.04242276816296728,0.02185371608802883,0.1713979857198838,0.24754486877259152,0.1765142085048887,0.09655458968891806,0.002262578248668875,0.006339327521110615,0.002448401022314809,0.001356823506568185
21,-0.060715027410020356,0.018987012987012997,-0.07005961935335936,-0.09363885624755193,0.23296252249425659,0.2611259028109822,0.23974641266699653,0.19664204002173752,0.1209355111917726,0.20930994276022888,0.14963045084996307,0.06180648597709627,0.038416153459753036,0.06166122362314592,0.040415360917830774,0.023058460285478984,0.18270542794229122,0.2606279386290522,0.17650777202072537,0.11184784907982537,0.0023015339904504384,0.005889498432601888,0.004305288450683592,0.0012070204575220112
22,-0.053405009255411584,0.020569620253164556,-0.044020779220779155,-0.10572127229270084,0.23294016150008015,0.25845398436428474,0.2389939601765947,0.19977196400959932,0.13161020289123956,0.20634470752089137,0.13703562244743608,0.08665337529452473,0.0398723734978316,0.0646071838609152,0.03967003406058445,0.022674249146829906,0.16340836464894964,0.27120907114010545,0.1681406495922164,0.10209290012033696,0.002242449541323622,0.007262627489072363,0.00287597064964722,0.0013558646129305605
23,-0.05379045462815096,-0.005592280043756781,-0.0674210832847991,-0.10374067339645118,0.23335165782877892,0.26338882534040453,0.23948939197694144,0.20040686303561903,0.13201758146405457,0.20401641025641026,0.1353611111111111,0.08022836615562257,0.037430641460200434,0.058984301302358336,0.03848906826832954,0.02241114340998867,0.17185045948203842,0.2825602953240361,0.178172380791533,0.10575406768901809,0.0022208606476464866,0.005658383886851512,0.0030365638925562884,0.0012271098412551008
24,-0.0576258408822031,0.01705813408345047,-0.05312059545490533,-0.09947996589940325,0.232763556043055,0.2629196448774774,0.24078743062708505,0.19829427584760223,0.13693617244453768,0.20344970414201186,0.13771626297577855,0.07314853801169588,0.0398757880457886,0.061109873557365926,0.040539224243398106,0.022702284465804787,0.17089017020615394,0.2627860379495894,0.1797004048582996,0.09630415480452123,0.002153003847292105,0.005178755543409394,0.003911806103351748,0.001113454303214155
25,-0.0545307042669968,0.015940362087326965,-0.03866738184635554,-0.1000898472596586,0.23445138310118094,0.26193499208025345,0.2389321863799283,0.19509184689168402,0.13233353604599737,0.2211877102489348,0.1429480286738351,0.0751940401940402,0.041230155519385824,0.0605488133981008,0.04102767818729383,0.022643719854974122,0.17480335607132355,0.2485507246376811,0.18410495641100988,0.09990724637681159,0.0024832070575481063,0.0060143022642219005,0.0038717973418080608,0.00117955364553134
26,-0.0536067226890756,0.006509758001561283,-0.06431999999999999,-0.10658450046685343,0.2335855038005692,0.25952054450472173,0.2412485190349875,0.19841353383458646,0.13943800943800944,0.22097840755735487,0.1437555846137082,0.06896923285443209,0.04097969061220039,0.06275049634414795,0.04025695238668513,0.02180347003778662,0.17777353368021453,0.2623333801257155,0.18935459908236835,0.0953157121879589,0.002345193374890756,0.005977163205710206,0.003110286560469376,0.0013535009866631302
27,-0.06302692302692303,0.0035492167407061292,-0.0603441983211207,-0.09676976744186047,0.22990103554114913,0.26394240257288,0.24198083967314737,0.19936646073954695,0.1358276464347431,0.21294446899396077,0.13753351096536176,0.07852806414662086,0.039355511547247396,0.05964275574112734,0.04152001977261493,0.023098193631385135,0.18000980712651193,0.2566243093922652,0.19334201144919608,0.09614497240150696,0.002373010728702489,0.005560388369354952,0.0028162733538993102,0.0012685612558284848
