arm,scope,n_conditions,n_defined,eps_star_min,eps_star_max,range,ratio_max_over_min,censored_cells,per_cell
no_rules,pooled,6,6,0.017291,0.017291,0.0,1.0,0,"ρ=0.0,r=0.2:0.0173; ρ=0.0,r=0.5:0.0173; ρ=0.5,r=0.2:0.0173; ρ=0.5,r=0.5:0.0173; ρ=0.9,r=0.2:0.0173; ρ=0.9,r=0.5:0.0173"
retry_selfreport,pooled,6,6,0.018343,0.033294,0.014951,1.815,0,"ρ=0.0,r=0.2:0.0333; ρ=0.0,r=0.5:0.0333; ρ=0.5,r=0.2:0.0265; ρ=0.5,r=0.5:0.0265; ρ=0.9,r=0.2:0.0183; ρ=0.9,r=0.5:0.0183"
retry_oracle,pooled,6,6,0.019585,0.250264,0.230679,12.778,0,"ρ=0.0,r=0.2:0.1782; ρ=0.0,r=0.5:0.2503; ρ=0.5,r=0.2:0.0560; ρ=0.5,r=0.5:0.0564; ρ=0.9,r=0.2:0.0196; ρ=0.9,r=0.5:0.0196"
min_rules,pooled,6,6,0.193418,0.193418,0.0,1.0,0,"ρ=0.0,r=0.2:0.1934; ρ=0.0,r=0.5:0.1934; ρ=0.5,r=0.2:0.1934; ρ=0.5,r=0.5:0.1934; ρ=0.9,r=0.2:0.1934; ρ=0.9,r=0.5:0.1934"
