pair,r,rho,stratum_set,n_chains,B_requested,B_defined,pct_undefined,delta_eps_star_point,ci_lo,ci_hi,p_boot,p_floor,family,holm_adj_p
min_rules-retry_oracle,0.2,0.0,pooled,600,9999,9999,0.0,0.015192,0.003774,0.026018,0.011401,2/9999,descriptive,
retry_oracle-no_rules,0.2,0.0,pooled,600,9999,9999,0.0,0.160935,0.15951,0.162444,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.0,low,200,9999,9999,0.0,0.102067,0.083226,0.125848,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.0,low,200,9999,9999,0.0,0.168305,0.165403,0.171337,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.0,medium,200,9999,9999,0.0,0.017173,0.001095,0.034142,0.037804,2/9999,secondary-9,0.037804
retry_oracle-no_rules,0.2,0.0,medium,200,9999,9999,0.0,0.163174,0.160725,0.165708,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.0,high,200,9999,9999,0.0,-0.055367,-0.066731,-0.043577,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.0,high,200,9999,9999,0.0,0.152478,0.150732,0.15413,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.5,pooled,600,9999,9999,0.0,0.137449,0.126632,0.148221,0.0,2/9999,descriptive,
retry_oracle-no_rules,0.2,0.5,pooled,600,9999,9999,0.0,0.038678,0.036875,0.040586,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.5,low,200,9999,9999,0.0,0.212173,0.194446,0.235409,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.5,low,200,9999,9999,0.0,0.058199,0.05503,0.06133,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.5,medium,200,9999,9999,0.0,0.139964,0.124005,0.156284,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.5,medium,200,9999,9999,0.0,0.040383,0.0381,0.043059,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.5,high,200,9999,9999,0.0,0.074504,0.063511,0.086153,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.5,high,200,9999,9999,0.0,0.022607,0.021075,0.024246,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.9,pooled,600,9999,9999,0.0,0.173832,0.162112,0.184894,0.0,2/9999,primary,
retry_oracle-no_rules,0.2,0.9,pooled,600,9999,9999,0.0,0.002294,0.002101,0.002696,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.9,low,200,9999,9999,0.0,0.264234,0.246272,0.288107,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.9,low,200,9999,9999,0.0,0.006138,0.005467,0.006894,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.9,medium,200,9999,9999,0.0,0.176933,0.160893,0.193891,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.9,medium,200,9999,9999,0.0,0.003414,0.002472,0.004407,0.0,2/9999,control,
min_rules-retry_oracle,0.2,0.9,high,200,9999,9999,0.0,0.095852,0.084107,0.107553,0.0,2/9999,secondary-9,0.0
retry_oracle-no_rules,0.2,0.9,high,200,9999,9999,0.0,0.001259,0.00109,0.001438,0.0,2/9999,control,
