replicate,r0.2_rho0.0_pooled_main,r0.2_rho0.0_low_main,r0.2_rho0.0_medium_main,r0.2_rho0.0_high_main,r0.2_rho0.0_pooled_control,r0.2_rho0.0_low_control,r0.2_rho0.0_medium_control,r0.2_rho0.0_high_control,r0.2_rho0.5_pooled_main,r0.2_rho0.5_low_main,r0.2_rho0.5_medium_main,r0.2_rho0.5_high_main,r0.2_rho0.5_pooled_control,r0.2_rho0.5_low_control,r0.2_rho0.5_medium_control,r0.2_rho0.5_high_control,r0.2_rho0.9_pooled_main,r0.2_rho0.9_low_main,r0.2_rho0.9_medium_main,r0.2_rho0.9_high_main,r0.2_rho0.9_pooled_control,r0.2_rho0.9_low_control,r0.2_rho0.9_medium_control,r0.2_rho0.9_high_control
0,0.012099317810116472,0.10529314810454432,0.025915252861433563,-0.05854800116720167,0.16060369162168986,0.1702115644760437,0.16311377245508982,0.15271276481320561,0.1446499334201973,0.2171407035175879,0.1374179236912156,0.07342075256556442,0.03960856153570049,0.05908549292011756,0.04096891870338375,0.023223611111111115,0.18419926653391908,0.2512660391599698,0.1939529914529915,0.10067434515485299,0.002428041816562733,0.00610780770277098,0.0037803042548987947,0.0012133145354158697
1,0.02458768006522244,0.09518023092086736,0.009916839916839948,-0.05406099360550909,0.161017381157106,0.16823985890652557,0.16178606612109725,0.15351546769736857,0.13984804662205919,0.22076743928135742,0.14724907263050374,0.07738706502229167,0.038303783115142764,0.05933581167219752,0.042668768151873634,0.02338107995988014,0.18255500987155793,0.26480400630433676,0.17014065695563255,0.10535220761712169,0.0022186222214330455,0.006633136389858546,0.003599461204245629,0.0014652335611503794
2,0.020939994627988207,0.09212670823099695,0.014927539773699261,-0.047330920445674524,0.16027148299106334,0.16916034046468828,0.164694168613455,0.15324395406004113,0.13634763955012064,0.2247397260273973,0.14261307473416204,0.07228188448649714,0.03858524257773675,0.058835291794213485,0.04173160173160172,0.023052765958941276,0.17366442659673278,0.2900034264176803,0.17477794932340388,0.09867435175153483,0.002171197857371035,0.00641209247184351,0.002496831027173279,0.001284310106664334
3,0.016165564802298082,0.09465535435397412,0.018291972092201764,-0.05118443517967042,0.16090329637252762,0.16753771126204392,0.16064982091788305,0.15246395351936248,0.14428957781475768,0.2040507050277739,0.141461331281262,0.07905277820770779,0.038553234016173554,0.05902088798595635,0.03901916102603256,0.02142478440689898,0.17082140988302952,0.2539125874125874,0.18033759831616258,0.10219050536850595,0.0022972826085015455,0.005935624089589073,0.0033918935644167494,0.001296089838349319
4,0.01156289284575121,0.11223256601218684,0.035843242684313936,-0.05742086438152008,0.16077324103262253,0.1679541114971672,0.16125020977205298,0.1515462629243548,0.13300065518777687,0.20535327868852463,0.13309859154929576,0.0715185601799775,0.03674189927818708,0.05700107874865158,0.041984361165469414,0.02129233765047764,0.17440839069157654,0.2594955436720143,0.17643073811931245,0.08888305868073385,0.002668608670582568,0.005609371659282908,0.004870644043057832,0.001151161954097417
5,0.016808915011009784,0.09347738693467339,0.016586759312873983,-0.05308454112751271,0.15926949777063606,0.16941441044183794,0.16305604224712636,0.15291458586875936,0.13442155868213296,0.2071254895561358,0.13965117921197567,0.08034331134787759,0.038613884231001414,0.06058951496767473,0.04179873619559439,0.022807354956308208,0.1715689627128865,0.2730261136712749,0.1869445200576677,0.08807384546635201,0.002274094770309161,0.00595053854875283,0.0029231066680314305,0.0012267936813207415
6,0.016132925998373626,0.10531614956245028,0.018431971490390803,-0.057809912616683085,0.1606049699572164,0.16976378661982933,0.16530256491311257,0.15295943760109493,0.15085639311689086,0.20054231080747964,0.13210669077757686,0.07245790119326423,0.039351806419409774,0.0592036697835618,0.041400167552296446,0.02219101476141188,0.17511337073907535,0.2604961421645381,0.17292120749782042,0.09364221364221365,0.002423995136280447,0.006404745309455062,0.0036999512483894548,0.0010912706941662315
7,0.006956092686278198,0.0801388888888889,0.02019759767146309,-0.05410828178199782,0.16145235756069684,0.16827653787696986,0.1645331835517057,0.1539945219334917,0.14716170384731464,0.22952226720647767,0.13737154150197636,0.07364821209758271,0.03725631089338176,0.055393877213125005,0.0408955453438752,0.02325700776764606,0.16724097707689808,0.27125268765133165,0.16850870010235414,0.1050353700802355,0.002290652770001577,0.005562113025778737,0.002834156773099325,0.001136112070208922
8,0.01022724917618284,0.10836363636363633,-0.012189189189189237,-0.06760111596819193,0.15987330477484066,0.16866896776294366,0.16362686921874361,0.15225922829657715,0.13091003698288473,0.22980098989482373,0.1472845688910818,0.07631723469552576,0.03919486802515362,0.05862719005236731,0.04082845712108429,0.024215360186576974,0.17797975222901624,0.2599288537549408,0.17243080756106813,0.0952067960517046,0.0022438627257095334,0.006061294235458245,0.004197151846097761,0.0012806735492237042
9,0.014282898726500903,0.09491355885480249,0.013758776720237148,-0.0532467306881064,0.16193145937923575,0.16852716594652078,0.1608812291819062,0.15315253559770806,0.13395842165828842,0.23482941176470581,0.14753249130514368,0.06886160714285715,0.04036304890560352,0.05783913150752531,0.039661119497486366,0.021938207020550764,0.17533540434833617,0.2666384711779449,0.17708743835601393,0.08555977444863369,0.002264013393903242,0.006610222395630118,0.0030735723054353785,0.0011453736793128506
