arm,complexity_label,epsilon_star,censor_flag,criterion
no_rules,low,0.027128,ok,0.5
no_rules,medium,0.017881,ok,0.5
no_rules,high,0.013145,ok,0.5
retry_selfreport,low,0.041996,ok,0.5
retry_selfreport,medium,0.028494,ok,0.5
retry_selfreport,high,0.016793,ok,0.5
retry_oracle,low,0.085327,ok,0.5
retry_oracle,medium,0.058264,ok,0.5
retry_oracle,high,0.035752,ok,0.5
min_rules,low,0.2975,ok,0.5
min_rules,medium,0.198228,ok,0.5
min_rules,high,0.110256,ok,0.5
